111k, train_mse: 0.000106240375, test1_mse: 0.00010879096, test2_mse: 6.623262e-05
112k, train_mse: 0.00010515862, test1_mse: 0.00010768051, test2_mse: 6.3849184e-05
113k, train_mse: 9.520307e-05, test1_mse: 9.591152e-05, test2_mse: 5.7640955e-05
114k, train_mse: 9.929666e-05, test1_mse: 0.00010032071, test2_mse: 5.996496e-05
115k, train_mse: 9.3595365e-05, test1_mse: 9.413276e-05, test2_mse: 5.8873356e-05
116k, train_mse: 9.9027166e-05, test1_mse: 9.9102326e-05, test2_mse: 6.1647166e-05
117k, train_mse: 0.00010320297, test1_mse: 0.000104811435, test2_mse: 6.651614e-05
118k, train_mse: 0.00010203227, test1_mse: 0.000105305975, test2_mse: 6.063713e-05
119k, train_mse: 0.000107497995, test1_mse: 0.00010909547, test2_mse: 7.396313e-05
120k, train_mse: 9.896728e-05, test1_mse: 0.00010062824, test2_mse: 6.2159896e-05
121k, train_mse: 0.00010994593, test1_mse: 0.00011056186, test2_mse: 6.0495277e-05
122k, train_mse: 0.00010322964, test1_mse: 0.000105154424, test2_mse: 6.2926774e-05
123k, train_mse: 9.118828e-05, test1_mse: 9.2851085e-05, test2_mse: 5.6231835e-05
124k, train_mse: 9.148908e-05, test1_mse: 9.247391e-05, test2_mse: 5.7106925e-05
125k, train_mse: 9.859833e-05, test1_mse: 0.00010072314, test2_mse: 5.9920083e-05
126k, train_mse: 9.958989e-05, test1_mse: 0.00010140279, test2_mse: 6.720617e-05
127k, train_mse: 9.857495e-05, test1_mse: 0.00010038501, test2_mse: 6.062541e-05
128k, train_mse: 9.899204e-05, test1_mse: 0.000100729114, test2_mse: 6.459939e-05
129k, train_mse: 8.957534e-05, test1_mse: 8.979119e-05, test2_mse: 5.5089557e-05
130k, train_mse: 9.97728e-05, test1_mse: 0.000104274404, test2_mse: 5.8553054e-05
131k, train_mse: 9.38804e-05, test1_mse: 9.663845e-05, test2_mse: 6.0968745e-05
132k, train_mse: 9.3341005e-05, test1_mse: 9.4154886e-05, test2_mse: 5.5646975e-05
133k, train_mse: 9.7392316e-05, test1_mse: 0.00010230803, test2_mse: 5.881735e-05
134k, train_mse: 9.767101e-05, test1_mse: 9.938037e-05, test2_mse: 6.14767e-05
135k, train_mse: 9.065822e-05, test1_mse: 9.30552e-05, test2_mse: 5.5885517e-05
136k, train_mse: 0.00010186937, test1_mse: 0.00010368131, test2_mse: 6.834686e-05
137k, train_mse: 9.16481e-05, test1_mse: 9.363952e-05, test2_mse: 5.5078322e-05
138k, train_mse: 9.692693e-05, test1_mse: 9.930613e-05, test2_mse: 5.8389825e-05
139k, train_mse: 9.6300464e-05, test1_mse: 9.872102e-05, test2_mse: 6.128907e-05
140k, train_mse: 9.627884e-05, test1_mse: 9.873166e-05, test2_mse: 5.958751e-05
141k, train_mse: 8.9277535e-05, test1_mse: 9.055386e-05, test2_mse: 5.422404e-05
142k, train_mse: 0.00010206324, test1_mse: 0.00010384384, test2_mse: 5.8881218e-05
143k, train_mse: 0.000102909515, test1_mse: 0.00010558363, test2_mse: 6.202537e-05
144k, train_mse: 8.7529974e-05, test1_mse: 9.049878e-05, test2_mse: 5.350226e-05
145k, train_mse: 0.00011768236, test1_mse: 0.00011799911, test2_mse: 7.447166e-05
146k, train_mse: 8.701656e-05, test1_mse: 8.939471e-05, test2_mse: 5.4480257e-05
147k, train_mse: 8.677329e-05, test1_mse: 8.973524e-05, test2_mse: 5.3748547e-05
148k, train_mse: 0.00011593585, test1_mse: 0.00012096411, test2_mse: 8.858596e-05
149k, train_mse: 9.829484e-05, test1_mse: 0.0001017915, test2_mse: 6.170869e-05
150k, train_mse: 8.938659e-05, test1_mse: 9.207775e-05, test2_mse: 5.7294572e-05
